property,address,num_chargers,charger_kw,location_description,type,lon,lat
Whole Foods San Jose (The Alameda),"777 The Alameda, San Jose, California, 95126",4,80,Grocery Store Parking Lot - street level,hpcp,-121.9049074,37.3321237
CIM - La Brea HPCP,"1302 South La Brea Ave., Los Angeles, California, 90019",3,80,Parking lot - street level,hpcp,-118.3440007,34.0493553
City of Sacramento - Southside Park HPCP,"2115 6th Street, Sacramento, California, 95818",6,150,Curbside Charging,hpcp,-121.5035578,38.5693987
Chevron #207718 - Willow Road,"1399 Willow Rd, Menlo Park, California, 94025",3,50,Gas Station,hpcp,-122.1518527,37.4792558
Lucky Hayward (Santa Clara St) #716,"25151 Santa Clara St, Hayward, California, 94544",6,80,Grocery Store Parking Lot - street level,hpcp,-122.0899597,37.6478804
Chevron #91965 - Santa Monica Blvd,"10867 Santa Monica Blvd., Los Angeles, California, 90025",4,80,Gas Station,hpcp,-118.4381117,34.0498755
Burlingame - Chula Vista Lot,"1133 Chula Vista Ave., Burlingame, California, 94010",4,80,City Parking Lot - street level,hpcp,-122.363623,37.586414
Oakland - Lake Park,"519 Lake Park Ave., Oakland, California, 94610",6,80,City Parking Lot - street level,hpcp,-122.2473638,37.8104614
South San Francisco - Miller Garage,"329 Miller Ave., South San Francisco, California, 94080",3,50,Public Parking Garage,hpcp,-122.4112458,37.6562039
City of Foster City Police Station - HPCP,"1000 E. Hillsdale Blvd., Foster City, California, 94404",4,80,City Parking Lot (Police Station) street level,hpcp,-122.2707345,37.5586747
UCLA - Lot 4,"Lot 4 Westwood Plaza, Los Angeles, California, 90095",6,80,Subterranean - parking garage on University Campus,hpcp,-118.4447524,34.0725052
City of Millbrae - Broadway,"446 Broadway, Millbrae, California, 94030",3,50,City Parking Lot (Police Station) street level,hpcp,-122.3929446,37.6022351
Rosecrans Plaza,"3156 Sports Arena Blvd, San Diego, California, 92110",6,50,Parking Garage for retail center,hpcp,-117.2067494,32.7530147
SD CalTrans Dist. 11 HQ,"4050 Taylor St. Stop 250, San Diego, California, 92110",6,80,Parking Lot (Street Level),hpcp,-117.1993557,32.7569475
Union 76 - Valley Village,"4654 Laurel Canyon Blvd, Valley Village, California, 91607",4,50,Gas Station,hpcp,-118.3963761,34.1555305
Veterans Memorial Park,"4117 Overland Ave, Culver City, California, 90230",3,50,City Parking Lot - street level,hpcp,-118.4025269,34.012952
Culver City Senior Center,"4095 Overland Ave, Culver City, California, 90230",3,50,City Parking Lot - street level,hpcp,-118.4031826,34.0138985
Apollo Center,"10307 Lakewood Blvd 1041, Downey, California, 90241",3,50,Parking Lot (Street Level) for retail center,hpcp,-118.1186228,33.946101
1000 Van Ness,"1000 Van Ness, San Francisco, California, 94109",6,50,Parking Garage for retail center,hpcp,-122.4205194,37.7851045
600 California,"600 California, San Francisco, California, 94101",6,50,Parking Garage for retail center,hpcp,-122.4047371,37.7929216
8000 Sunset Strip,"8000 W Sunset Blvd, Los Angeles, California 90046",6,50,Subterranean - parking garage - retail,hpcp,-118.365233,34.0976043
Metro Point,"901 S Coast Dr., Costa Mesa, CA, 92626",3,50,Parking Garage for retail center,hpcp,-117.8941019,33.688866
San Francisco Civic Center,"455 Golden Gate Avenue, San Francisco, CA 94102",4,80,City Parking Lot - street level,hpcp,-122.4178945,37.7812385
Whole Foods Mill Valley (Blithedale),"731 E Blithedale Ave, Mill Valley, CA 94941",3,50,Grocery Store Parking Lot - street level,hpcp,-122.526048,37.9025872
Oakland - Lafayette Square,"610 E 10th St, Oakland, CA 94606",4,50,none,hpcp,-122.2554547,37.7929966
San Francisco Premium Outlets,"2774 Livermore Outlets Dr, Livermore, CA, 94551",2,50,none,nrg_settlment,-121.8449467,37.6995665
City of Visalia,"320 E Acequia Ave., Visalia, CA, 93291",2,50,none,nrg_settlment,-119.289482,36.329624
Cupertino Village,"10869 N Wolfe Rd, Cupertino, CA, 95014",2,50,none,nrg_settlment,-122.0154226,37.3357263
Whole Foods Santa Cruz,"911 Soquel Ave, Santa Cruz, CA, 95062",2,50,none,nrg_settlment,-122.014572,36.978945
Rialto Market Place,"1310 S Riverside Ave, Rialto, CA, 92376",2,50,none,nrg_settlment,-117.3712088,34.077454
Santee Trolley,"9846 Mission Gorge Rd, Santee, CA, 92071",2,50,none,nrg_settlment,-116.9824828,32.8423516
New Leaf Half Moon Bay,"150 San Mateo Rd, Half Moon Bay, CA, 94019",2,50,none,nrg_settlment,-122.4321259,37.4691142
Whole Foods San Francisco (SOMA),"399 4th St, San Francisco, CA, 94107",2,50,none,nrg_settlment,-122.3997825,37.7812623
Westlake Shopping Center,"75 Southgate Ave, Daly City, CA, 94015",2,50,none,nrg_settlment,-122.4814411,37.6978655
Whole Foods San Francisco (Ocean Ave),"1150 Ocean Ave, San Francisco, CA, 94112",2,50,none,nrg_settlment,-122.4524082,37.7229097
